user,date,fiber_score,probiotic_score,diversity_score,recommendation
Guest,2025-07-08 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-08 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-08 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-09 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-09 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-09 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-14 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-14 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-14 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-14 00:00:00.000000,5.9,7.9,8.6,Increase fiber
Guest,2025-07-14 00:00:00.000000,8.9,6.7,3.3,Increase fiber
Guest,2025-07-14 00:00:00.000000,4.4,9.7,6.9,Improve diversity
Guest,2025-07-14 00:00:00.000000,9.9,9.4,7.1,Improve diversity
Guest,2025-07-14 00:00:00.000000,8.6,6.5,3.6,Improve diversity
Guest,2025-07-14 00:00:00.000000,8.0,9.5,5.6,Maintain diet
Guest,2025-07-14 00:00:00.000000,9.2,4.4,3.0,Increase fiber
Guest,2025-07-14 00:00:00.000000,7.1,7.6,5.5,Improve diversity
Guest,2025-07-14 00:00:00.000000,4.5,5.2,2.3,Increase fiber
Guest,2025-07-14 00:00:00.000000,3.2,5.8,7.7,Maintain diet
Guest,2025-07-14 00:00:00.000000,4.9,6.4,6.3,Maintain diet
Guest,2025-07-14 00:00:00.000000,2.6,2.1,8.4,Increase fiber
Guest,2025-07-14 00:00:00.000000,7.2,5.1,3.1,Maintain diet
Guest,2025-07-14 00:00:00.000000,9.3,9.5,9.3,Increase fiber
Guest,2025-07-14 00:00:00.000000,2.8,5.0,2.5,Add probiotics
Guest,2025-07-18 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-18 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-18 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-18 00:00:00.000000,5.9,7.9,8.6,Increase fiber
Guest,2025-07-18 00:00:00.000000,8.9,6.7,3.3,Increase fiber
Guest,2025-07-18 00:00:00.000000,4.4,9.7,6.9,Improve diversity
Guest,2025-07-18 00:00:00.000000,9.9,9.4,7.1,Improve diversity
Guest,2025-07-18 00:00:00.000000,8.6,6.5,3.6,Improve diversity
Guest,2025-07-18 00:00:00.000000,8.0,9.5,5.6,Maintain diet
Guest,2025-07-18 00:00:00.000000,9.2,4.4,3.0,Increase fiber
Guest,2025-07-18 00:00:00.000000,7.1,7.6,5.5,Improve diversity
Guest,2025-07-18 00:00:00.000000,4.5,5.2,2.3,Increase fiber
Guest,2025-07-18 00:00:00.000000,3.2,5.8,7.7,Maintain diet
Guest,2025-07-18 00:00:00.000000,4.9,6.4,6.3,Maintain diet
Guest,2025-07-18 00:00:00.000000,2.6,2.1,8.4,Increase fiber
Guest,2025-07-18 00:00:00.000000,7.2,5.1,3.1,Maintain diet
Guest,2025-07-18 00:00:00.000000,9.3,9.5,9.3,Increase fiber
Guest,2025-07-18 00:00:00.000000,2.8,5.0,2.5,Add probiotics
test,2025-07-19 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
test,2025-07-19 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
test,2025-07-19 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
test,2025-07-19 00:00:00.000000,5.9,7.9,8.6,Increase fiber
test,2025-07-19 00:00:00.000000,8.9,6.7,3.3,Increase fiber
test,2025-07-19 00:00:00.000000,4.4,9.7,6.9,Improve diversity
test,2025-07-19 00:00:00.000000,9.9,9.4,7.1,Improve diversity
test,2025-07-19 00:00:00.000000,8.6,6.5,3.6,Improve diversity
test,2025-07-19 00:00:00.000000,8.0,9.5,5.6,Maintain diet
test,2025-07-19 00:00:00.000000,9.2,4.4,3.0,Increase fiber
test,2025-07-19 00:00:00.000000,7.1,7.6,5.5,Improve diversity
test,2025-07-19 00:00:00.000000,4.5,5.2,2.3,Increase fiber
test,2025-07-19 00:00:00.000000,3.2,5.8,7.7,Maintain diet
test,2025-07-19 00:00:00.000000,4.9,6.4,6.3,Maintain diet
test,2025-07-19 00:00:00.000000,2.6,2.1,8.4,Increase fiber
test,2025-07-19 00:00:00.000000,7.2,5.1,3.1,Maintain diet
test,2025-07-19 00:00:00.000000,9.3,9.5,9.3,Increase fiber
test,2025-07-19 00:00:00.000000,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 13:52:37.022166,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 13:52:37.022166,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 13:52:37.022166,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 13:52:37.022166,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 13:52:37.022166,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 13:52:37.022166,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 13:52:37.022166,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 13:52:37.022166,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 13:52:37.022166,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 13:52:37.022166,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 13:52:37.022166,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 13:52:37.022166,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 13:52:37.022166,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 13:52:37.022166,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 13:52:37.022166,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 13:52:37.022166,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 13:52:37.022166,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 13:52:37.022166,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 13:58:38.332901,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 13:58:38.332901,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 13:58:38.332901,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 13:58:38.332901,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 13:58:38.332901,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 13:58:38.332901,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 13:58:38.332901,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 13:58:38.332901,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 13:58:38.332901,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 13:58:38.332901,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 13:58:38.332901,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 13:58:38.332901,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 13:58:38.332901,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 13:58:38.332901,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 13:58:38.332901,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 13:58:38.332901,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 13:58:38.332901,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 13:58:38.332901,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 14:23:04.405434,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 14:23:04.405434,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 14:23:04.405434,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 14:23:04.405434,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 14:23:04.405434,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 14:23:04.405434,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 14:23:04.405434,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 14:23:04.405434,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 14:23:04.405434,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 14:23:04.405434,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 14:23:04.405434,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 14:23:04.405434,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 14:23:04.405434,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 14:23:04.405434,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 14:23:04.405434,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 14:23:04.405434,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 14:23:04.405434,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 14:23:04.405434,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 14:36:23.173191,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 14:36:23.173191,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 14:36:23.173191,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 14:36:23.173191,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 14:36:23.173191,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 14:36:23.173191,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 14:36:23.173191,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 14:36:23.173191,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 14:36:23.173191,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 14:36:23.173191,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 14:36:23.173191,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 14:36:23.173191,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 14:36:23.173191,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 14:36:23.173191,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 14:36:23.173191,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 14:36:23.173191,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 14:36:23.173191,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 14:36:23.173191,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 14:51:09.866940,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 14:51:09.866940,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 14:51:09.866940,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 14:51:09.866940,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 14:51:09.866940,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 14:51:09.866940,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 14:51:09.866940,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 14:51:09.866940,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 14:51:09.866940,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 14:51:09.866940,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 14:51:09.866940,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 14:51:09.866940,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 14:51:09.866940,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 14:51:09.866940,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 14:51:09.866940,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 14:51:09.866940,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 14:51:09.866940,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 14:51:09.866940,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 14:51:09.866940,6.5,7.2,8.1,
Guest,2025-07-19 14:51:09.866940,4.0,3.5,5.2,
Guest,2025-07-19 14:51:09.866940,7.8,6.9,9.0,
Guest,2025-07-19 14:56:49.508335,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 14:56:49.508335,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 14:56:49.508335,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
Guest,2025-07-19 14:56:49.508335,5.9,7.9,8.6,Increase fiber
Guest,2025-07-19 14:56:49.508335,8.9,6.7,3.3,Increase fiber
Guest,2025-07-19 14:56:49.508335,4.4,9.7,6.9,Improve diversity
Guest,2025-07-19 14:56:49.508335,9.9,9.4,7.1,Improve diversity
Guest,2025-07-19 14:56:49.508335,8.6,6.5,3.6,Improve diversity
Guest,2025-07-19 14:56:49.508335,8.0,9.5,5.6,Maintain diet
Guest,2025-07-19 14:56:49.508335,9.2,4.4,3.0,Increase fiber
Guest,2025-07-19 14:56:49.508335,7.1,7.6,5.5,Improve diversity
Guest,2025-07-19 14:56:49.508335,4.5,5.2,2.3,Increase fiber
Guest,2025-07-19 14:56:49.508335,3.2,5.8,7.7,Maintain diet
Guest,2025-07-19 14:56:49.508335,4.9,6.4,6.3,Maintain diet
Guest,2025-07-19 14:56:49.508335,2.6,2.1,8.4,Increase fiber
Guest,2025-07-19 14:56:49.508335,7.2,5.1,3.1,Maintain diet
Guest,2025-07-19 14:56:49.508335,9.3,9.5,9.3,Increase fiber
Guest,2025-07-19 14:56:49.508335,2.8,5.0,2.5,Add probiotics
Guest,2025-07-19 14:56:49.508335,6.5,7.2,8.1,
Guest,2025-07-19 14:56:49.508335,4.0,3.5,5.2,
Guest,2025-07-19 14:56:49.508335,7.8,6.9,9.0,
Guest,2025-07-19 00:00:00.000000,6.5,7.2,8.1,Include more legumes and fermented foods
Guest,2025-07-19 00:00:00.000000,4.0,3.5,5.2,Increase fiber intake and try kefir or yogurt
Guest,2025-07-19 00:00:00.000000,7.8,6.9,9.0,Excellent! Maintain your diverse plant-based diet
